"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population"
2020-02-29,2,"สมุทรสาคร",0,0,0,0,"Samut Sakhon","TH74",1580413
2020-02-29,2,"สระแก้ว",0,0,0,0,"Sa Kaeo","TH27",565874
2020-02-29,2,"สระบุรี",0,0,0,0,"Saraburi","TH19",802049
2020-02-29,2,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156
2020-02-29,2,"สุโขทัย",0,0,0,0,"Sukhothai","TH64",596662
2020-02-29,2,"สุพรรณบุรี",0,0,0,0,"Suphan Buri","TH72",748248
2020-02-29,2,"สุราษฎร์ธานี",0,0,0,0,"Surat Thani","TH84",1051922
2020-02-29,2,"สุรินทร์",0,0,0,0,"Surin","TH32",860410
2020-02-29,2,"หนองคาย",0,0,0,0,"Nong Khai","TH43",379636
2020-02-29,2,"หนองบัวลำภู",0,0,0,0,"Nong Bua Lam Phu","TH39",438010
2020-02-29,2,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643
2020-02-29,2,"อำนาจเจริญ",0,0,0,0,"Amnat Charoen","TH37",203893
2020-02-29,2,"อุดรธานี",0,0,0,0,"Udon Thani","TH41",1020066
2020-02-29,2,"อุตรดิตถ์",0,0,0,0,"Uttaradit","TH53",371390
2020-02-29,2,"อุทัยธานี",0,0,0,0,"Uthai Thani","TH61",260998
2020-02-29,2,"อุบลราชธานี",0,0,0,0,"Ubon Ratchathani","TH34",1614923
2020-03-31,3,"กระบี่",7,8,0,0,"Krabi","TH81",347995
2020-03-31,3,"กรุงเทพมหานคร",960,986,6,6,"Bangkok","TH10",10709136
2020-03-31,3,"กาญจนบุรี",8,8,0,0,"Kanchanaburi","TH71",778936
2020-03-31,3,"กาฬสินธุ์",2,2,0,0,"Kalasin","TH46",664356
2020-03-31,3,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777
2020-03-31,3,"ขอนแก่น",3,3,0,0,"Khon Kaen","TH40",1630099
2020-03-31,3,"จันทบุรี",3,3,0,0,"Chanthaburi","TH22",442591
2020-03-31,3,"ฉะเชิงเทรา",11,11,0,0,"Chachoengsao","TH24",738516
2020-03-31,3,"ชลบุรี",42,43,0,0,"Chon Buri","TH20",2147385
2020-03-31,3,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108
2020-03-31,3,"ชัยภูมิ",2,2,0,0,"Chaiyaphum","TH36",764624
2020-03-31,3,"ชุมพร",1,1,0,0,"Chumphon","TH86",441213
2020-03-31,3,"เชียงราย",6,6,0,0,"Chiang Rai","TH57",1089821
2020-03-31,3,"เชียงใหม่",29,30,0,0,"Chiang Mai","TH50",1809819
2020-03-31,3,"ตรัง",5,5,0,0,"Trang","TH92",540949
2020-03-31,3,"ตราด",0,0,0,0,"Trat","TH23",264085
2020-03-31,3,"ตาก",2,2,0,0,"Tak","TH63",510728
2020-03-31,3,"นครนายก",1,1,0,0,"Nakhon Nayok","TH26",227464
2020-03-31,3,"นครปฐม",14,15,0,0,"Nakhon Pathom","TH73",1028904
2020-03-31,3,"นครพนม",1,1,0,0,"Nakhon Phanom","TH48",449625
2020-03-31,3,"นครราชสีมา",15,15,0,0,"Nakhon Ratchasima","TH30",2368321
2020-03-31,3,"นครศรีธรรมราช",5,5,0,0,"Nakhon Si Thammarat","TH80",1260910
2020-03-31,3,"นครสวรรค์",6,6,0,0,"Nakhon Sawan","TH60",826586
2020-03-31,3,"นนทบุรี",104,108,1,1,"Nonthaburi","TH12",1940476
2020-03-31,3,"นราธิวาส",9,9,1,1,"Narathiwat","TH96",610304
2020-03-31,3,"น่าน",0,0,0,0,"Nan","TH55",402916
2020-03-31,3,"บึงกาฬ",0,0,0,0,"Bueng Kan","TH38",306619
2020-03-31,3,"บุรีรัมย์",10,10,0,0,"Buri Ram","TH31",985709
2020-03-31,3,"ปทุมธานี",18,18,0,0,"Pathum Thani","TH13",2352209
2020-03-31,3,"ประจวบคีรีขันธ์",9,11,0,0,"Prachuap Khiri Khan","TH77",454323
2020-03-31,3,"ปราจีนบุรี",3,3,0,0,"Prachin Buri","TH25",669420
2020-03-31,3,"ปัตตานี",35,35,0,0,"Pattani","TH94",557875
2020-03-31,3,"พระนครศรีอยุธยา",0,0,0,0,"Phra Nakhon Si Ayutthaya","TH14",998279
2020-03-31,3,"พะเยา",2,2,0,0,"Phayao","TH56",313682
2020-03-31,3,"พังงา",0,0,0,0,"Phangnga","TH82",254114
2020-03-31,3,"พัทลุง",6,6,0,0,"Phatthalung","TH93",419456
2020-03-31,3,"พิจิตร",0,0,0,0,"Phichit","TH66",475920
2020-03-31,3,"พิษณุโลก",3,3,0,0,"Phitsanulok","TH65",938009
2020-03-31,3,"เพชรบุรี",1,1,0,0,"Phetchaburi","TH76",456851
2020-03-31,3,"เพชรบูรณ์",3,3,0,0,"Phetchabun","TH67",821626
2020-03-31,3,"แพร่",1,1,0,0,"Phrae","TH54",335189
2020-03-31,3,"ภูเก็ต",61,63,0,0,"Phuket","TH83",962681
2020-03-31,3,"มหาสารคาม",1,1,1,1,"Maha Sarakham","TH44",655502
2020-03-31,3,"มุกดาหาร",4,4,0,0,"Mukdahan","TH49",365780
2020-03-31,3,"แม่ฮ่องสอน",5,5,0,0,"Mae Hong Son","TH58",187041
2020-03-31,3,"ยโสธร",1,1,0,0,"Yasothon","TH35",385065
2020-03-31,3,"ยะลา",35,35,1,1,"Yala","TH95",409580
2020-03-31,3,"ร้อยเอ็ด",3,3,0,0,"Roi Et","TH45",848096
2020-03-31,3,"ระนอง",0,0,0,0,"Ranong","TH85",340692
2020-03-31,3,"ระยอง",5,5,0,0,"Rayong","TH21",1188389
2020-03-31,3,"ราชบุรี",7,7,0,0,"Ratchaburi","TH70",721366
2020-03-31,3,"ลพบุรี",2,2,0,0,"Lop Buri","TH16",718935
2020-03-31,3,"ลำปาง",0,0,0,0,"Lampang","TH52",632799
